Experiment;Sample_date;Time_years;ambient_CO2;increased_CO2;ambient_CO2_n;increased_CO2_n;Depth
Merritt Island;01.11.98;2.55;1734;1567;8;8;0-10 cm
Merritt Island;01.09.99;3.36;1782;1712;8;8;0-10 cm
Merritt Island;01.03.01;4.87;2191;1941;8;8;0-10 cm
Merritt Island;01.05.02;6;2099;1741;8;8;0-10 cm
Merritt Island;01.05.02;6;1999;1628;8;8;0-10 cm
Merritt Island;01.05.07;11;1512;1411;8;8;0-10 cm
;;;;;;;
NewZealandFACE;may/oct. 1997;0;2685;2465;3;3;0-5 cm
NewZealandFACE;may/oct. 1998;1;2650;2490;3;3;0-5 cm
NewZealandFACE;may/oct. 1999;2;2655;2525;3;3;0-5 cm
NewZealandFACE;may/oct. 2000;3;2675;2565;3;3;0-5 cm
NewZealandFACE;may/oct. 2001;4;2515;2445;3;3;0-5 cm
NewZealandFACE;may/oct. 2002;5;2585;2490;3;3;0-5 cm
NewZealandFACE;may/oct. 2003;6;2519;2510;3;3;0-5 cm
NewZealandFACE;may/oct. 2004;7;2599;2534;3;3;0-5 cm
NewZealandFACE;may/oct. 2005;8;2659;2659;3;3;0-5 cm
NewZealandFACE;may/oct. 2006;9;2657;2722;3;3;0-5 cm
NewZealandFACE;may/oct. 2007;10;2722;2822;3;3;0-5 cm
;;;;;;;
New Zealand Greenhouse;-;0;2112.2;2122.4;1;1;0-5 cm
New Zealand Greenhouse;-;0.25;2122.4;2142.9;1;1;0-5 cm
New Zealand Greenhouse;-;0.5;1969.4;1979.6;1;1;0-5 cm
New Zealand Greenhouse;-;0.75;1969.4;2000;1;1;0-5 cm
;;;;;;;
New Zealand OTC - P. radiata;01.04.94;0;100;100;2;2;0-10 cm
New Zealand OTC - P. radiata;01.03.00;6;412;530;2;2;0-10 cm
;;;;;;;
New Zealand OTC - N. fusca;01.04.94;0;100;100;3;3;0-10 cm
New Zealand OTC - N. fusca;01.03.00;6;2403;3402;3;3;0-10 cm
;;;;;;;
ORNL FACE;01.10.97;0;2672;2791;3;2;0-15 cm
ORNL FACE;01.11.00;2.42;2785;2866;3;2;0-15 cm
